[EE__x(t) = .090262, EE__y(t) = .65999833454, EE__angle(t) = .01635458636]
[EE__x(t) = .08762, EE__y(t) = .65960233198, EE__angle(t) = .02004112872]
[EE__x(t) = .084933, EE__y(t) = .65920074943, EE__angle(t) = .02414529955]
[EE__x(t) = .082202, EE__y(t) = .65879635687, EE__angle(t) = .02852436314]
[EE__x(t) = .079426, EE__y(t) = .65839368432, EE__angle(t) = .03298596887]
[EE__x(t) = .076602, EE__y(t) = .65799447176, EE__angle(t) = .037315647]
[EE__x(t) = .07374, EE__y(t) = .65759797921, EE__angle(t) = .04127454346]
[EE__x(t) = .070843, EE__y(t) = .65720021665, EE__angle(t) = .04461663284]
[EE__x(t) = .067915, EE__y(t) = .6567992941, EE__angle(t) = .04710548813]
[EE__x(t) = .064962, EE__y(t) = .65639650154, EE__angle(t) = .04851571445]
[EE__x(t) = .061992, EE__y(t) = .65599770899, EE__angle(t) = .0486660316]
[EE__x(t) = .059015, EE__y(t) = .65560631644, EE__angle(t) = .04740356406]
[EE__x(t) = .056044, EE__y(t) = .65522302388, EE__angle(t) = .04464809641]
[EE__x(t) = .053097, EE__y(t) = .65484133133, EE__angle(t) = .04035991067]
[EE__x(t) = .050193, EE__y(t) = .65445743877, EE__angle(t) = .0345822805]
[EE__x(t) = .047344, EE__y(t) = .65406414622, EE__angle(t) = .02740122661]
[EE__x(t) = .044558, EE__y(t) = .65366435366, EE__angle(t) = .0189770958]
[EE__x(t) = .041837, EE__y(t) = .65326306111, EE__angle(t) = .009506144301]
[EE__x(t) = .039193, EE__y(t) = .65287456855, EE__angle(t) = -.0007626514791]
[EE__x(t) = .036627, EE__y(t) = .652501266, EE__angle(t) = -.01155888805]
[EE__x(t) = .034153, EE__y(t) = .65214588344, EE__angle(t) = -.02259836512]
[EE__x(t) = .031772, EE__y(t) = .65180409089, EE__angle(t) = -.03359553011]
[EE__x(t) = .029494, EE__y(t) = .65147109833, EE__angle(t) = -.04428603304]
[EE__x(t) = .027317, EE__y(t) = .65114170578, EE__angle(t) = -.05442238484]
[EE__x(t) = .025246, EE__y(t) = .65081354322, EE__angle(t) = -.06381073781]
[EE__x(t) = .023282, EE__y(t) = .65048508067, EE__angle(t) = -.0722883751]
[EE__x(t) = .021426, EE__y(t) = .65015586812, EE__angle(t) = -.07976104038]
[EE__x(t) = .019679, EE__y(t) = .64982518556, EE__angle(t) = -.08617085036]
[EE__x(t) = .018049, EE__y(t) = .64949270401, EE__angle(t) = -.09152771323]
[EE__x(t) = .016535, EE__y(t) = .64915826645, EE__angle(t) = -.09587517514]
[EE__x(t) = .015142, EE__y(t) = .6488219579, EE__angle(t) = -.09931003102]
[EE__x(t) = .013871, EE__y(t) = .64848380034, EE__angle(t) = -.1019526212]
[EE__x(t) = .012724, EE__y(t) = .64814377679, EE__angle(t) = -.103948329]
[EE__x(t) = .011706, EE__y(t) = .64780180023, EE__angle(t) = -.1054518898]
[EE__x(t) = .010819, EE__y(t) = .64745747768, EE__angle(t) = -.1066197889]
[EE__x(t) = .010064, EE__y(t) = .64711055512, EE__angle(t) = -.1076045873]
[EE__x(t) = .00944, EE__y(t) = .64676001257, EE__angle(t) = -.1085322619]
[EE__x(t) = .008954, EE__y(t) = .64640516001, EE__angle(t) = -.109513716]
