.27636778e-1,.5089470817,-.7227355672e-2
.17697407e-1,.5336382439,.5508752658e-1
.6612816e-2,.5569373720,.1154934587
-.5523253e-2,.5789584086,.1743591208
-.18639130e-1,.5997884734,.2319873826
-.32679953e-1,.6194942482,.2886342758
-.47604153e-1,.6381262642,.3445222319
-.63381053e-1,.6557218079,.3998497113
-.79989256e-1,.6723068875,.4547985502
.35549139e-1,.5315116951,-.6743277515e-1
.26787914e-1,.5576349133,-.2924310173e-2
.16767208e-1,.5822272119,.5924747492e-1
.5608494e-2,.6054362424,.1195379552
-.65962014e-2,.6273738633,.1783105722
-.197764914e-1,.6481256316,.2358644911
-.338785158e-1,.6677570160,.2924530947
-.488615088e-1,.6863175674,.3482969100
-.646954691e-1,.7038437529,.4035930567
.406051295e-1,.5524239579,-.1331916181
.332297758e-1,.5802317265,-.6583524315e-1
.244362507e-1,.6063156863,-.1389818193e-2
.143866265e-1,.6308728340,.6073135827e-1
.32015382e-2,.6540498046,.1209810008
-.90275928e-2,.6759577237,.1797207144
-.222308321e-1,.6966815970,.2372483609
-.363546724e-1,.7162864634,.2938163883
-.513586336e-1,.7348215277,.3496446566
.422619520e-1,.5711696238,-.2059290796
.365694808e-1,.6010229664,-.1347736028
.292289288e-1,.6288730388,-.6734227303e-1
.204658715e-1,.6549940318,-.2837384803e-2
.104435265e-1,.6795843378,.5933152789e-1
-.7166818e-3,.7027915504,.1196196879
-.129227620e-1,.7247274883,.1783904374
-.261043524e-1,.7454776762,.2359428655
-.402076127e-1,.7651075583,.2925303002
.397315428e-1,.5869680643,-.2878267818
.361751760e-1,.6194178807,-.2113940819
.306165853e-1,.6494339590,-.1399219043
.233898048e-1,.6774223217,-.7224443392e-1
.147262282e-1,.7036642355,-.7544406812e-2
.47928642e-2,.7283626991,.5478108776e-1
-.62862556e-2,.7516684770,.1151955811
-.184172626e-1,.7736956676,.1740681452
-.315283892e-1,.7945315052,.2317019229
.317702255e-1,.5985264607,-.3825274518
.311096699e-1,.6344961850,-.2982895950
.278483525e-1,.6673046385,-.2210931440
.225301885e-1,.6976129592,-.1490472360
.155070332e-1,.7258488334,-.8092499396e-1
.70210384e-2,.7523065993,-.1587294755e-1
-.27538245e-2,.7771977251,.4673475564e-1
-.136887566e-1,.8006787651,.1073768733
-.256864750e-1,.8228679704,.1664329668
.161313850e-1,.6033888364,-.4970192559
.198452759e-1,.6446757773,-.3999455080
.197798001e-1,.6813688337,-.3140269984
.169729710e-1,.7147297248,-.2356390820
.120223764e-1,.7454848327,-.1627039320
.53088060e-2,.7740970122,-.9389529499e-1
-.29083578e-2,.8008815478,-.2830150046e-1
-.124441006e-1,.8260633269,.3473980199e-1
-.231621312e-1,.8498080152,.9573146250e-1
-.124498586e-1,.5955079500,-.6487509442
-.5385052e-3,.6467590534,-.5255057161
.44643435e-2,.6896127462,-.4244685780
.52755296e-2,.7273713986,-.3360330479
.31270463e-2,.7615325218,-.2558884653
-.12971514e-2,.7929274742,-.1816552786
-.75710327e-2,.8220741032,-.1118513027
-.154088135e-1,.8493197856,-.4547532197e-1
-.246088172e-1,.8749096618,.1819040039e-1
.74885164e-1,.4809598314,.1551678092
.62084435e-1,.5021729635,.2131724269
.48342345e-1,.5222418535,.2701158154
.33704520e-1,.5412219621,.3262302400
.18205004e-1,.5591546716,.3817211369
.1868104e-2,.5760695249,.4367750965
-.15290394e-1,.5919857118,.4915661623
-.33262468e-1,.6069129834,.5462610797
-.52047490e-1,.6208521020,.6010239729
.88264339e-1,.5068728356,.1046535611
.76313233e-1,.5291186991,.1637746653
.63370686e-1,.5501594492,.2216073379
.49494308e-1,.5700651092,.2784149945
.34727875e-1,.5888888934,.3344253683
.19103902e-1,.6066703223,.3898406691
.2645377e-2,.6234373390,.4448452809
-.14633091e-1,.6392076999,.4996118620
-.32724584e-1,.6539898157,.5543064878
.99591621e-1,.5318894975,.5062093145e-1
.88586921e-1,.5552857330,.1111524317
.76524741e-1,.5773965832,.1701193247
.63478156e-1,.5983108717,.2278285395
.49503113e-1,.6180966046,.2845390194
.34642060e-1,.6368053757,.3404752791
.18926402e-1,.6544753606,.3958372566
.2378171e-2,.6711333376,.4508077845
-.149888878e-1,.6867960154,.5055585700
.1086006198,.5557870915,-.7534890049e-2
.986670748e-1,.5804853361,.5479028609e-1
.875877918e-1,.6037909140,.1152045215
.754566323e-1,.6258179202,.1740768792
.623453630e-1,.6466535845,.2317104913
.483089150e-1,.6663646776,.2883615836
.333889169e-1,.6850018007,.3442527249
.176160933e-1,.7026022991,.3995824725
.10118829e-2,.7191922325,.4545327286
.1149475469,.5782685101,-.7063181368e-1
.1062511819,.6044705682,-.5996270176e-2
.962885049e-1,.6291334014,.5627749412e-1
.851826835e-1,.6524067226,.1166502527
.730269646e-1,.6744038758,.1754891787
.598926509e-1,.6952115291,.2330960703
.458343145e-1,.7148960168,.2897261983
.308932952e-1,.7335075880,.3456014441
.151000753e-1,.7510832942,.4009198819
.1181734567,.5989214291,-.1398161017
.1109443299,.6269069406,-.7214372280e-1
.1022787039,.6531463630,-.7447731591e-2
.923435082e-1,.6778425995,.5487452499e-1
.812627200e-1,.7011463499,.1152864075
.691301693e-1,.7231716640,.1741568666
.560175943e-1,.7440057412,.2317889617
.419799062e-1,.7637153272,.2884388640
.270587174e-1,.7823510028,.3443291018
.1176372812,.6171438965,-.2167732897
.1122115827,.6473215074,-.1449847777
.1050974625,.6754468114,-.7706189276e-1
.965322115e-1,.7018082404,-.1216753648e-1
.866866617e-1,.7266134444,.5031379230e-1
.756874666e-1,.7500163717,.1108539893
.636303749e-1,.7721334078,.1698278950
.505885593e-1,.7930534939,.2275427199
.366180424e-1,.8128447283,.2842576104
.1123845629,.6319946405,-.3041549864
.1092911036,.6650071298,-.2265205679
.1041090896,.6954809433,-.1541469647
.972008505e-1,.7238564988,-.8577135897e-1
.888148074e-1,.7504357589,-.2051912059e-1
.791289668e-1,.7754350920,.4224891070e-1
.682748728e-1,.7990143927,.1030203072
.563517689e-1,.8212942926,.1621806707
.434354270e-1,.8423668947,.2200447975
.1008500657,.6418459177,-.4065762817
.1010170123,.6788214868,-.3199950982
.983860297e-1,.7123961242,-.2411414550
.935767409e-1,.7433229912,-.1678606531
.869816269e-1,.7720791560,-.9878619648e-1
.788669538e-1,.7989882713,-.3298310645e-1
.694221099e-1,.8242805402,.3022547073e-1
.587863346e-1,.8481252106,.9135189807e-1
.470643289e-1,.8706495494,.1507987163
.128242504,.4731588895,.2556169890
.113830461,.4924134408,.3119232739
.98548996e-1,.5106111942,.3675554836
.82424771e-1,.5277845586,.4227043844
.65475668e-1,.5439552680,.4775466998
.47711647e-1,.5591354312,.5322505839
.29135214e-1,.5733280935,.5869804037
.9741533e-2,.5865273763,.6419012326
-.10481796e-1,.5987182075,.6971833946
.144179388,.5006682175,.2089890240
.130504127,.5208183391,.2660014399
.115930227,.5398761504,.3221690013
.100492506,.5578839713,.3776988005
.84215929e-1,.5748721496,.4327785733
.67116875e-1,.5908605913,.4875830881
.49203913e-1,.6058597140,.5422794601
.30478204e-1,.6198709288,.5970318532
.10933552e-1,.6328867032,.6520059545
.158348194,.5275410307,.1595181015
.145475684,.5486669116,.2174351632
.131665653,.5686532191,.2743093843
.116962787,.5875542695,.3303707099
.101400352,.6054104996,.3858229284
.85001987e-1,.6222506405,.4408514981
.67782879e-1,.6380931557,.4956297496
.49750494e-1,.6529471183,.5503240775
.30904916e-1,.6668126296,.6050985894
.1705554328,.5536272946,.1068031422
.1585675268,.5758284261,.1658728837
.1455905268,.5968272979,.2236644206
.1316814888,.6166932604,.2804396710
.1168837478,.6354789886,.3364252921
.1012294488,.6532235555,.3918227327
.847412618e-1,.6699545183,.4468158573
.674335111e-1,.6856892855,.5015770025
.493128466e-1,.7004359422,.5562720954
.1805608848,.5787360972,.5032301294e-1
.1695615248,.6021388234,.1108629484
.1575042808,.6242556737,.1698366433
.1444623216,.6451755859,.2275513001
.1304916689,.6649666549,.2842660576
.1156348282,.6836805466,.3402055730
.999232545e-1,.7013554953,.3955698826
.833790212e-1,.7180183318,.4505418875
.660159122e-1,.7336858108,.5052933361
.1880594220,.6026173172,-.1061517484e-1
.1781843393,.6273866227,.5181359990e-1
.1671582755,.6507568912,.1123114085
.1550763446,.6728437340,.1712511359
.1420112439,.6937355175,.2289386207
.1280186294,.7134998913,.2856320200
.1131407128,.7321881648,.3415552895
.974087046e-1,.7498382753,.3969079687
.808444661e-1,.7664767951,.4518726216
.1926521475,.6249316240,-.7696085164e-1
.1840848282,.6512905399,-.1207059560e-1
.1742374328,.6760935003,.5040744399e-1
.1632365590,.6994943868,.1109449883
.1511779156,.7216095367,.1699167549
.1381346455,.7425278550,.2276298690
.1241627488,.7623174117,.2843434138
.1093047141,.7810298522,.3402820063
.935919829e-1,.7987033943,.3956456549
.1937976788,.6451982355,-.1500679822
.1867974598,.6734619893,-.8189530519e-1
.1783314297,.6999440237,-.1680338746e-1
.1685743599,.7248567758,.4583625336e-1
.1576555932,.7483574654,.1065041286
.1456728021,.7705648153,.1655809950
.1327005926,.7915695092,.2233782355
.1187960961,.8114409921,.2801579786
.1040027092,.8302320130,.3361470284
.1907228714,.6626962690,-.2319755834
.1856788923,.6933378667,-.1592677169
.1788868673,.7218546838,-.9063417050e-1
.1706017095,.7485565710,-.2517839223e-1
.1610055821,.7736649513,.3775252975e-1
.1502328484,.7973431475,.9865523545e-1
.1383847575,.8197142276,.1579215300
.1255385679,.8408721012,.2158705715
.1117534557,.8608886975,.2727700428
.177860145,.4622528478,.3514393246
.161978726,.4797213465,.4067100077
.145268075,.4961819001,.4616238352
.127740394,.5116493380,.5163509368
.109400328,.5261293084,.5710563126
.90245183e-1,.5396185366,.6259043699
.70264803e-1,.5521046756,.6810634202
.49441092e-1,.5635657323,.7367104757
.27747149e-1,.5739690060,.7930367440
.196040025,.4910480060,.3078498352
.180820833,.5093214541,.3635244673
.164757251,.5265685299,.4187024492
.147867763,.5428117033,.4735613322
.130162888,.5580637590,.5282697266
.111645666,.5723283929,.5829921226
.92311798e-1,.5856003796,.6378933905
.72149450e-1,.5978653346,.6931433120
.51138699e-1,.6090990406,.7489214935
.212661153,.5193890434,.2618826003
.198151362,.5385247800,.3181043909
.182775566,.5566078732,.3736740858
.166559401,.5736694812,.4287805946
.149519835,.5897302327,.4835994425
.131665991,.6048012144,.5382981373
.112999562,.6188844852,.5930409051
.93514894e-1,.6319731709,.6479931719
.73198720e-1,.6440511481,.7033261364
.2275757198,.5471683442,.2132574809
.2138322728,.5672355846,.2701994778
.1991931488,.5862141147,.3263128328
.1836923768,.6041452976,.3818029484
.1673542498,.6210586602,.4368563926
.1501945438,.6369733777,.4916471939
.1322212668,.6518991874,.5463420907
.1134350378,.6658368387,.6011052067
.938291068e-1,.6787781269,.6561025229
.2406050788,.5742539088,.1616196937
.2276979658,.5953377285,.2194949317
.2138551608,.6152841987,.2763361506
.1991209018,.6341470896,.3323721959
.1835280808,.6519663846,.3878060724
.1671000148,.6687704248,.4428227043
.1498516062,.6845773238,.4975950858
.1317900504,.6993958282,.5522894523
.1129151675,.7132257192,.6070699123
.2515296628,.6004799312,.1065131057
.2395467178,.6226870941,.1655897572
